ssid,customerid,name,country,realm_name,imsi_prefix,status,dra,connection,coveragestatus,productcomment,commercialstatus,owner,region,tagid,technicalcomment,hub,hub_policy,LIST,LISTREGION
6621,1379,Telefonica Colombia (Movistar),Colombia,epc.mnc123.mcc732.3gppnetwork.org,732123,online,,Indirect,Live,,,,CALA,COLTM,,:TIWS,TIWS:Prefered(Default),LIST_6621_TELEFONICA_COLOMBIA_MOVISTAR,NA
12664,1766,Societe Nationale des Telecommunications (Comores Telecom),Comoros,epc.mnc001.mcc654.3gppnetwork.org,65401,hidden,,Indirect,,,,,EMEA,COMHR,,:FT,FT:Prefered(Default),,
12598,3063,Africell RDC sprl,Congo The Democratic Republic,,,,,,,,,,,CODAC,,,,,
12521,1768,Telecom Cook Islands,Cook Islands,epc.mnc001.mcc548.3gppnetwork.org,54801,hidden,,Indirect,,,,,,COKTC,,:Comfone,Comfone:Prefered(Default),LIST_12521_TELECOM_COOK_ISLANDS,"EU,NA"
7312,2311,Claro CR Telecomunicaciones,Costa Rica,epc.mnc003.mcc712.3gppnetwork.org,71203,online,,Indirect,Live,,,,North America,CRICL,,:iBasis,iBasis:Prefered(Default),LIST_7312_CLARO_CR_TELECOMUNICACIONES,NA
7352,1370,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,Costa Rica,epc.mnc001.mcc712.3gppnetwork.org,71201,hidden,,Indirect,Live,,,,North America,CRICR,"

",:Comfone,Comfone:Need approval,LIST_7352_INSTITUTO_COSTARRICENSE_DE_ELECTRICIDAD,"EU,NA"
6794,2422,Telefonica Moviles Costa Rica,Costa Rica,epc.mnc004.mcc712.3gppnetwork.org,71204,online,,Indirect,Live,"Do not engage customer about termination.  I will inform if there is a need to terminate and migrate to their Internal DSS but for now they are extending the service until August.

Regards
Patricia
",,malyadri.palakeerthi@syniverse.com,CALA,CRITC,"New Comments: (19th Jully 2016)

Telefonica Moviles Costa Rica has been migrated to TIWS, so the path is:

   *(Any RP) - S9NA - TIWS - Telefonica Moviles Costa Rica

-----------------------
Old comments
Do not migrate unless get patria confirmation.",:TIWS,TIWS:Prefered(Default),LIST_6794_TELEFONICA_MOVILES_COSTA_RICA,NA
12528,1614,Atlantique Telecom,Cote D'ivoire,epc.mnc002.mcc612.3gppnetwork.org,61202,online,,Indirect,,,,,EMEA,CIV02,,:BICS,BICS:Prefered(Default),LIST_12528_ATLANTIQUE_TELECOM,"EU,NA"
7450,1490,MTN Ivory Coast,Cote D'ivoire,epc.mnc005.mcc612.3gppnetwork.org,61205,online,,Indirect,,,,,,CIVTL,"Telus request to open S6A , IR21 shows BICS, request has been sent to BICS, once BICS agrees, will bring online",:BICS,BICS:Prefered(Default),LIST_7450_MTN_IVORY_COAST,"EU,NA"
7431,894,Orange Ivory Coast,Cote D'ivoire,epc.mnc003.mcc612.3gppnetwork.org,61203,online,,Indirect,Live,,,,EMEA,CIV03,,:FT,FT:Prefered(Default),LIST_7431_ORANGE_IVORY_COAST,"EU,NA"
6941,395,Croatian Telecom Inc,Croatia,epc.mnc001.mcc219.3gppnetwork.org,21901,online,,Indirect,Live,,,,EMEA,HRVCN,,:DT,DT:Prefered(Default),LIST_6941_CROATIAN_TELECOM_INC,"EU,NA"
6978,635,Tele2 Croatia,Croatia,epc.mnc002.mcc219.3gppnetwork.org,21902,online,,Indirect,Live,,,,EMEA,HRVT2,,:Tele2,Tele2:Prefered(Default),LIST_6978_TELE2_CROATIA,EU
6832,827,VIPNet,Croatia,epc.mnc010.mcc219.3gppnetwork.org,21910,online,,Indirect,Live,,,,EMEA,HRVVI,,:TelecomAustria,TelecomAustria:Prefered(Default),LIST_6832_VIPNET,EU
7483,657,Cubacel,Cuba,epc.mnc001.mcc368.3gppnetwork.org,36801,hidden,,Indirect,,,,,,CUB01,,:Comfone,Comfone:Prefered(Default),LIST_7483_CUBACEL,"EU,NA"
7351,435,Cyprus Telecommunications Auth,Cyprus,epc.mnc001.mcc280.3gppnetwork.org,28001,hidden,,Indirect,Live,,,,EMEA,CYPCT,"As per checked on 25th July, no sales opportunity yet.  Route should be opened via Comfone, without per-route approval",:Comfone,Comfone:Prefered(Default),LIST_7351_CYPRUS_TELECOMMUNICATIONS_AUTH,"EU,NA"
7402,746,MTN Cyprus,Cyprus,epc.mnc010.mcc280.3gppnetwork.org,28010,online,,Indirect,Live,,,,EMEA,CYPSC,,:BICS,BICS:Prefered(Default),LIST_7402_MTN_CYPRUS,"EU,NA"
7034,2416,PrimeTel Cyprus,Cyprus,epc.mnc020.mcc280.3gppnetwork.org,28020,online,,Indirect,Live,,,,EMEA,CYPPT,,:Telenor,Telenor:Prefered(Default),LIST_7034_PRIMETEL_CYPRUS,"EU,NA"
7063,402,O2 Czech Republic,Czech Republic,epc.mnc002.mcc230.3gppnetwork.org,23002,online,,Indirect,Live,,,,EMEA,CZEET,,:TelecomAustria,TelecomAustria:Prefered(Default),LIST_7063_O2_CZECH_REPUBLIC,EU
6898,323,T-Mobile Czech,Czech Republic,epc.mnc001.mcc230.3gppnetwork.org,23001,online,,Indirect,Live,,,,EMEA,CZERM,,:DT,DT:Prefered(Default),LIST_6898_TMOBILE_CZECH,"EU,NA"
6801,579,Vodafone Czech,Czech Republic,epc.mnc003.mcc230.3gppnetwork.org,23003,online,,Indirect,Live,,,,EMEA,CZECM,,:VCS,VCS:Prefered(Default),LIST_6801_VODAFONE_CZECH,EU
7126,580,Hutchison 3G Denmark,Denmark,epc.mnc006.mcc238.3gppnetwork.org,23806,hidden,,Indirect,Live,,,,EMEA,DNKHU,,:Comfone:TATA,"Comfone:Prefered(Default)
TATA:Need approval",LIST_7126_HUTCHISON_3G_DENMARK,"EU,NA"
6947,272,TDC Mobil AS,Denmark,epc.mnc001.mcc238.3gppnetwork.org,23801,online,,Indirect,Live,,,,EMEA,DNKTD,,:iBasis,iBasis:Prefered(Default),LIST_6947_TDC_MOBIL_AS,"EU,NA"
6920,355,Telenor Denmark,Denmark,epc.mnc002.mcc238.3gppnetwork.org,23802,online,,Indirect,Live,,,,EMEA,DNKDM,,:Telenor,Telenor:Prefered(Default),LIST_6920_TELENOR_DENMARK,"EU,NA"
6834,376,TeliaSonera Denmark,Denmark,epc.mnc020.mcc238.3gppnetwork.org,23820,online,,Indirect,Live,,,,EMEA,DNKIA,,:TeliaSonera,TeliaSonera:Prefered(Default),LIST_6834_TELIASONERA_DENMARK,NA
12618,3155,Wavely,Denmark,epc.mnc042.mcc238.3gppnetwork.org,23842,online,,Indirect,,,,,EMEA,XXXYY,,:Telenor,Telenor:Prefered(Default),LIST_12618_WAVELY,"EU,NA"
12728,1921,Evatis (Djibouti Telekom),Djibouti,epc.mnc001.mcc638.3gppnetwork.org,63801,hidden,,Indirect,,,,,EMEA,DJIDJ,,:Comfone,Comfone:Prefered(Default),,
12639,1656,Cable and Wireless Dominica,Dominica,epc.mnc110.mcc366.3gppnetwork.org,366110,Group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,DMACW,Cable and wireless group member,,,,
6912,647,"Compania Dominicana De Telefonos,S.A.",Dominican Republic,epc.mnc002.mcc370.3gppnetwork.org,37002,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,North America,DOMCL,"Also named as ""VERIZO Dominican""

Claro Dominicana have been migrated from Ibasis to Syniverse.",,,LIST_6912_COMPANIA_DOMINICANA_DE_TELEFONOSSA,NA
7107,427,Orange Dominicana,Dominican Republic,epc.mnc001.mcc370.3gppnetwork.org,37001,online,,Indirect,Live,,,,EMEA,DOM01,,:FT,FT:Prefered(Default),LIST_7107_ORANGE_DOMINICANA,"EU,NA"
12531,1719,Trilogy Dominicana,Dominican Republic,epc.mnc004.mcc370.3gppnetwork.org,37004,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,CALA,DOMAC,,,,LIST_12531_TRILOGY_DOMINICANA,NA
12554,1537,CNT EP,Ecuador,epc.mnc002.mcc740.3gppnetwork.org,74002,online,NA DSC,Direct,Live,,Contract,Mario.herrera@syniverse.com,CALA,RSB04,,,,LIST_12554_CNT_EP,NA
7348,604,Conecel,Ecuador,epc.mnc001.mcc740.3gppnetwork.org,74001,online,,Indirect,Live,,,,CALA,ECUPG,,:iBasis,iBasis:Prefered(Default),LIST_7348_CONECEL,NA
7050,1398,Telefonica Moviles Ecuador,Ecuador,epc.mnc000.mcc740.3gppnetwork.org,74000,online,,Indirect,Live,,,,CALA,ECUOT,,:TIWS,TIWS:Prefered(Default),LIST_7050_TELEFONICA_MOVILES_ECUADOR,NA
7411,864,ETISALAT Egypt,Egypt,epc.mnc003.mcc602.3gppnetwork.org,60203,online,,Indirect,Live,,,,EMEA,EGYEM,,:BICS,BICS:Prefered(Default),LIST_7411_ETISALAT_EGYPT,"EU,NA"
7433,437,Mobinil,Egypt,epc.mnc001.mcc602.3gppnetwork.org,60201,online,,Indirect,Live,,,,EMEA,EGYAR,,:FT,FT:Prefered(Default),LIST_7433_MOBINIL,"EU,NA"
7293,411,Vodafone Egypt,Egypt,epc.mnc002.mcc602.3gppnetwork.org,60202,online,,Indirect,Live,,,,EMEA,EGYMS,,:BICS,BICS:Prefered(Default),LIST_7293_VODAFONE_EGYPT,"EU,NA"
12650,1426,CTE Telecom Personal,El Salvador,epc.mnc001.mcc706.3gppnetwork.org,70601,online,,,,,,,,SLVTP,,:iBasis,iBasis:Prefered(Default),LIST_12650_CTE_TELECOM_PERSONAL,NA
7399,1400,Telefonica Moviles EL Salvador,El Salvador,epc.mnc004.mcc706.3gppnetwork.org,70604,online,,Indirect,Live,,,,CALA,SLVTS,,:TIWS,TIWS:Prefered(Default),LIST_7399_TELEFONICA_MOVILES_EL_SALVADOR,NA
12500,1427,Tigo(Telemovil) El Salvador,El Salvador,epc.mnc003.mcc706.3gppnetwork.org,70603,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,SLVTM,,,,LIST_12500_TIGOTELEMOVIL_EL_SALVADOR,NA
6837,328,AS EMT,Estonia,epc.mnc001.mcc248.3gppnetwork.org,24801,online,,Indirect,Live,,,,EMEA,ESTEM,,:TeliaSonera,TeliaSonera:Prefered(Default),LIST_6837_AS_EMT,NA
6930,422,ELISA EESTI AS,Estonia,epc.mnc002.mcc248.3gppnetwork.org,24802,online,,Indirect,Live,,,,EMEA,ESTRE,,:Telenor:BICS,"Telenor:Not prefered no Need approval
BICS:Prefered(Default)",LIST_6930_ELISA_EESTI_AS,"EU,NA"
6971,633,Tele2 Estonia,Estonia,epc.mnc003.mcc248.3gppnetwork.org,24803,online,,Indirect,Live,,,,EMEA,ESTRB,,:Tele2,Tele2:Prefered(Default),LIST_6971_TELE2_ESTONIA,EU
7477,592,Faroese Telecom,Faroe Islands,epc.mnc001.mcc288.3gppnetwork.org,28801,online,,Indirect,Live,,,,EMEA,FROFT,,:iBasis,iBasis:Prefered(Default),LIST_7477_FAROESE_TELECOM,EU
6863,1721,Digicel Fiji,Fiji,epc.mnc002.mcc542.3gppnetwork.org,54202,online,,Indirect,Live,,,,Asia Pacific,FJIDP,"""Tonga/Fiji/Vanuatu have the same realm name"" per Digicel group.

Per their IR21, their IMSI prefix are different.

Now only leave Digicel Fiji in RMT, the other 2 was set to ""group"" of RMT status.

",:Telstra,Telstra:Prefered(Default),LIST_6863_DIGICEL_FIJI,NA
6796,921,Vodafone Fiji,Fiji,epc.mnc001.mcc542.3gppnetwork.org,54201,online,,Indirect,Live,,,,Asia Pacific,FJIVF,,:Telstra:BICS,"Telstra:Prefered(Default)
BICS:Need approval",LIST_6796_VODAFONE_FIJI,"EU,NA"
7484,386,Alands Mobiltelefon,Finland,epc.mnc014.mcc244.3gppnetwork.org,24414,online,,Indirect,,,,,EMEA,FINAM,,:TeliaSonera,TeliaSonera:Prefered(Default),LIST_7484_ALANDS_MOBILTELEFON,NA
6934,381,Elisa,Finland,"epc.mnc005.mcc244.3gppnetwork.org,epc.mnc021.mcc244.3gppnetwork.org","24405,24421",online,,Indirect,Live,,,,EMEA,FINRL,,:Telenor:BICS,"Telenor:Not prefered no Need approval
BICS:Prefered(Default)",LIST_6934_ELISA,"EU,NA"
7125,1513,Finnet (DNA) Finland,Finland,epc.mnc012.mcc244.3gppnetwork.org,24412,hidden,,Indirect,Live,,,,EMEA,FIN2G,AKA: DNA Finland,:Comfone,Comfone:Need approval,LIST_7125_FINNET_NETWORKS,"EU,NA"
6835,344,TeliaSonera Finland,Finland,epc.mnc091.mcc244.3gppnetwork.org,24491,online,,Indirect,Live,,,,EMEA,FINTF,,:TeliaSonera,TeliaSonera:Prefered(Default),LIST_6835_TELIASONERA_FINLAND,NA
6847,2859,TeliaSonera Peer Hub,Finland,,,online,NA DSC,Peer,,,,,,,,,,,
6523,322,Bouygues Telecom,France,epc.mnc020.mcc208.3gppnetwork.org,20820,online,EU DSC,Direct,Live,,,Jason.Qin@syniverse.com,EMEA,FRAF3,"use roaming steering , HSS will reject ULR with DIAMETER_UNABLE_TO_COMPLY (5012)",:Comfone K2R:FT,"Comfone K2R:Prefered(Default)
FT:Need approval",LIST_6523_BOUYGUES_TELECOM,"EU,NA"
6570,275,FranceTelecom Peering Hub,France,,,,"NA DSC, EU DSC",Peer,,When opening tickets with FT/Orange please use our service ID LD011315,,wind.wang@syniverse.com,,,"Primary IP Second IP configured in CCB is for FRT DSC, On AMS DSC, IP is switched",,,,
6916,2657,HALYS,France,epc.mnc094.mcc208.3gppnetwork.org,20894,online,,Indirect,Live,,,,EMEA,FRA0F,,:Comfone,Comfone:Prefered(Default),LIST_6916_HALYS,"EU,NA"
7369,3051,Hewlett-Packard Communication Frech,France,epc.mnc012.mcc208.3gppnetwork.org,20812,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,EMEA,FRAHC,,,,LIST_7369_HEWLETTPACKARD_COMMUNICATION_FRECH,NA
7496,2652,Mobiquithings France,France,epc.mnc024.mcc208.3gppnetwork.org,20824,online,,Indirect,Live,,,,EMEA,AAZ24,,:BICS,BICS:Prefered(Default),LIST_7496_MOBIQUITHINGS_FRANCE,"EU,NA"
6541,388,Orange France,France,"epc.mnc001.mcc208.3gppnetwork.org,epc.mnc031.mcc901.3gppnetwork.org","20801,90131",online,,Indirect,Live,,,,EMEA,FRAF1,,:FT,FT:Prefered(Default),LIST_6541_ORANGE_FRANCE,"EU,NA"
6555,357,SFR,France,"epc.mnc009.mcc208.3gppnetwork.org,epc.mnc010.mcc208.3gppnetwork.org","20809,20810",online,,Indirect,Live,,,,EMEA,FRAF2,"Default route of SFR point to BICS, but SFR may request some of the route to be opened by VCS also.
We shall agree request from BICS or VCS, if the request send from SVR customer, we shall try BICS first to avoid special routing",:VCS:BICS,"VCS:Not prefered no Need approval
BICS:Prefered(Default)",LIST_6555_SFR,"AP,EU,NA"
7075,2658,TRANSATEL France,France,epc.mnc037.mcc901.3gppnetwork.org,90137,online,,Indirect,Live,,,,EMEA,AAZTR,,:FT,FT:Prefered(Default),LIST_7075_TRANSATEL_FRANCE,"EU,NA"
12662,1972,Outremer Telecom French Guiana,French Guiana,epc.mnc002.mcc340.3gppnetwork.org,34002,online,,Indirect,,,,,CALA,GUF01,,:FT,FT:Prefered(Default),LIST_12662_OUTREMER_TELECOM_FRENCH_GUIANA,"EU,NA"
12764,1687,TikiPhone,French Polynesia,epc.mnc020.mcc547.3gppnetwork.org,54720,hidden,,Indirect,,,,,,FRATK,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-08-10",:Comfone K2R,Comfone K2R:Prefered(Default),,
12731,1294,Celtel Gabon,Gabon,epc.mnc003.mcc628.3gppnetwork.org,62803,online,,Indirect,,,,,EMEA,GABCT,,:BICS,BICS:Prefered(Default),LIST_12731_CELTEL_GABON,"EU,NA"
7491,1295,Libertis Telecom,Gabon,epc.mnc001.mcc628.3gppnetwork.org,62801,online,,Indirect,Live,,,,EMEA,GAB01,,:BICS,BICS:Prefered(Default),LIST_7491_LIBERTIS_TELECOM,"EU,NA"
12732,1296,Telecel Gabon,Gabon,epc.mnc002.mcc628.3gppnetwork.org,62802,online,,Indirect,,,,,EMEA,GABTL,,:BICS,BICS:Prefered(Default),LIST_12732_TELECEL_GABON,"EU,NA"
12507,1777,Africell (Gambia) Ltd,Gambia,epc.mnc002.mcc607.3gppnetwork.org,60702,online,,Indirect,Live,,,,EMEA,GMBAC,"
",:FT,FT:Prefered(Default),LIST_12507_AFRICELL_GAMBIA_LTD,"EU,NA"
12765,1728,QCELL,Gambia,,,,,,,,,,,GMBQC,"2018/8/15 comment
QCell is a diameter customer already with signed contract (SFDC 38906) signed back in May 2015.
We need a follow-up with Sales and the owner of this account (unfortunately the person in SFDC is no longer with Syniverse). 
Lucy Q is following with sales to check current status of QCell",,,,
7412,689,Geocell,Georgia,epc.mnc001.mcc282.3gppnetwork.org,28201,online,,Indirect,Live,,,,EMEA,GEOGC,,:TeliaSonera,TeliaSonera:Prefered(Default),LIST_7412_GEOCELL,NA
7358,612,MagtiCom,Georgia,epc.mnc002.mcc282.3gppnetwork.org,28202,hidden,,Indirect,Live,,,,EMEA,GEOMA,No sales opportunity yet.,:Comfone,Comfone:Prefered(Default),LIST_7358_MAGTICOM,"EU,NA"
7067,1688,Mobitel Georgia ,Georgia,epc.mnc004.mcc282.3gppnetwork.org,28204,online,,Indirect,Live,,,,EMEA,GEOMT,,:BICS:iBasis,"BICS:Prefered(Default)
iBasis:Need approval",LIST_7067_MOBITEL_GEORGIA,"EU,NA"
6856,2863,Deutsche Telekom Peering Hub,Germany,,,,"NA DSC, EU DSC",Peer,,,,wind.wang@syniverse.com,,,,,,,
12491,359,E-Plus,Germany,epc.mnc003.mcc262.3gppnetwork.org,26203,,,,,,,,,DEUE1,,,,,
12504,3111,EMnify GmbH,Germany,epc.mnc043.mcc901.3gppnetwork.org,90143,online,,Indirect,,,,,EMEA,EMNDE,,:BICS,BICS:Prefered(Default),LIST_12504_EMNIFY_GMBH,"EU,NA"
7048,2901,EU-FRT-DSC-01,Germany,dra.ipx.syniverse.3gppnetwork.org,,,,,,,,,,,,,,,
6783,348,T-Mobile Germany,Germany,"epc.mnc001.mcc262.3gppnetwork.org,epc.mnc040.mcc901.3gppnetwork.org","26201,90140",online,,Indirect,Live,,,,EMEA,DEUD1,,:DT,DT:Prefered(Default),LIST_6783_TMOBILE_GERMANY,"EU,NA"
6533,343,Telefonica O2 Germany,Germany,"epc.mnc003.mcc262.3gppnetwork.org,epc.mnc007.mcc262.3gppnetwork.org","26203,26207",online,,Indirect,Live,,,,EMEA,DEUE2,O2 GE is behind the TIWS hub which is connected to EU DSC,:TIWS,TIWS:Prefered(Default),LIST_6533_TELEFONICA_O2_GERMANY,"AP,EU,NA"
6740,372,Vodafone Germany,Germany,epc.mnc002.mcc262.3gppnetwork.org,26202,online,,Indirect,Live,,,,EMEA,DEUD2,,:VCS,VCS:Prefered(Default),LIST_6740_VODAFONE_GERMANY,EU
12628,1322,MTN Ghana,Ghana,,,,,,,,,,,GHASC,,,,,
7479,856,Vodafone Ghana,Ghana,,62002,,,,,,,,,GHAGT,Implementing under FT 2017/4/11,,,,
7400,558,Gibtel,Gibraltar,epc.mnc001.mcc266.3gppnetwork.org,26601,online,EU DSC,Direct,Live,,,Jason.Qin@syniverse.com,Asia Pacific,GIBGT,,,,LIST_7400_GIBTEL,EU
6897,473,COSMOTE Mobile Telecommunications,Greece,epc.mnc001.mcc202.3gppnetwork.org,20201,online,,Indirect,Live,,,,EMEA,GRCCO,,:OTEGlobe:Comfone K2R,"OTEGlobe:Prefered(Default)
Comfone K2R:Prefered(Default)",LIST_6897_COSMOTE_MOBILE_TELECOMMUNICATIONS,"EU,NA"
7012,311,OTEGlobe GRX Peer,Greece,,,,NA DSC,Peer,,,,,,,,,,,
6739,370,Vodafone Greece,Greece,epc.mnc005.mcc202.3gppnetwork.org,20205,online,,Indirect,Live,,,,EMEA,GRCPF;GRCCT,,:VCS,VCS:Prefered(Default),LIST_6739_VODAFONE_GREECE,EU
7287,390,Wind Greece,Greece,epc.mnc010.mcc202.3gppnetwork.org,"20209,20210",online,,Indirect,Live,,,,EMEA,GRCSH,"Wind Greece confirm that they will only use one realm as below:

Please note: Wind Hellas SIMs use 2 IMSI series, 20210 and 20209.
The tricky thing is: they both use same EPC realm epc.mnc010.mcc202.3gppnetwork
",:Telecom Italia Sparkle,Telecom Italia Sparkle:Prefered(Default),LIST_7287_WIND_GREECE,"EU,NA"
7070,2910,Cable and Wireless Group,GROUP,"epc.mnc110.mcc356.3gppnetwork.org,epc.mnc110.mcc358.3gppnetwork.org,epc.mnc110.mcc366.3gppnetwork.org,epc.mnc140.mcc346.3gppnetwork.org,epc.mnc170.mcc348.3gppnetwork.org,epc.mnc180.mcc338.3gppnetwork.org,epc.mnc350.mcc376.3gppnetwork.org,epc.mnc600.mcc342.3gppnetwork.org,epc.mnc840.mcc365.3gppnetwork.org,epc.mnc920.mcc344.3gppnetwork.org","338180,342600,344920,346140,348170,356110,358110,365840,366110,376350",online,NA DSC,Direct,Not in external coverage,,,luisdiego.jimenez@syniverse.com,CALA,,,,,LIST_7070_CABLE_AND_WIRELESS_GROUP,NA
12513,1262,Digicel Antilles,Guadeloupe,,,,,,,,,,,,,,,,
7323,1969,Orange (France Caraibe Mobiles),Guadeloupe,epc.mnc001.mcc340.3gppnetwork.org,34001,online,,Indirect,Live,,,,CALA,GLP01,,:FT,FT:Prefered(Default),LIST_7323_ORANGE_FRANCE_CARAIBE_MOBILES,"EU,NA"
6561,879,Docomo Pacific,Guam,"epc.mnc370.mcc310.3gppnetwork.org,epc.mnc470.mcc310.3gppnetwork.org","310370,310470",online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,North America,GUMHT,,,,LIST_6561_DOCOMO_PACIFIC,NA
7032,1407,IT&E,Guam,epc.mnc110.mcc310.3gppnetwork.org,310110,hidden,,Indirect,Live,,,,North America,,,:TNS,TNS:Need approval,LIST_7032_ITE_PTI,NA
7445,808,Pulse Mobile Guam,Guam,epc.mnc140.mcc310.3gppnetwork.org,310140,hidden,,Indirect,,,,,North America,USAPU,,:TATA,TATA:Need approval,LIST_7445_PULSE_MOBILE_GUAM,NA
7345,1516,Claro Guatemala,Guatemala,epc.mnc001.mcc704.3gppnetwork.org,70401,online,,Indirect,Live,,,,CALA,GTMSC,,:iBasis,iBasis:Prefered(Default),LIST_7345_CLARO_GUATEMALA,NA
7066,1399,Telefonica Moviles Guatemala,Guatemala,epc.mnc003.mcc704.3gppnetwork.org,70403,online,,Indirect,Live,,,,CALA,GTMTG,,:TIWS,TIWS:Prefered(Default),LIST_7066_TELEFONICA_MOVILES_GUATEMALA,NA
12534,967,Tigo Guatemala,Guatemala,epc.mnc002.mcc704.3gppnetwork.org,70402,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,GTMCM," Comunicaciones Celulares, S.A. (Guatemala)",,,LIST_12534_TIGO_GUATEMALA,NA
7321,514,Sure Gurnsey,Guernsey,epc.mnc055.mcc234.3gppnetwork.org,23455,hidden,,Indirect,Not in external coverage,,,malyadri.palakeerthi@syniverse.com,EMEA,GBRGT,,:Comfone,Comfone:Not prefered no Need approval,LIST_7321_SURE_GURNSEY,"EU,NA"
12657,1298,MTN Bissau,Guinea-Bissau,epc.mnc002.mcc632.3gppnetwork.org,63202,online,,Indirect,Live,,,,EMEA,GNBSB,,:BICS,BICS:Prefered(Default),LIST_12657_MTN_BISSAU,"EU,NA"
12753,1759,Orange Bissau,Guinea-Bissau,epc.mnc003.mcc632.3gppnetwork.org,63203,hidden,,Indirect,,,,,,GNB03,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-07-23
",:Comfone K2R,Comfone K2R:Prefered(Default),,
6680,1692,Digicel Haiti,Haiti,,,,NA DSC,Direct,Live,,,,CALA,,merged to Digicel Jamaica,,,,
7273,1028,Claro Honduras,Honduras,epc.mnc001.mcc708.3gppnetwork.org,708001,online,,Indirect,Live,,,,CALA,HNDME,,:iBasis,iBasis:Prefered(Default),LIST_7273_CLARO_HONDURAS,NA
7430,1669,Tigo Honduras,Honduras,epc.mnc002.mcc708.3gppnetwork.org,70802,online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,CALA,HND02,,,,LIST_7430_TIGO_HONDURAS,NA
6354,102,China Mobile Hong Kong,Hong Kong,epc.mnc012.mcc454.3gppnetwork.org,45412,online,AP DSC,Direct,Live,,,joe.feng@syniverse.com,Asia Pacific,HKGPP,"if operators ask SVR to migrate their route to CMHK via CMI , please let them know currently CMHK will keep using Syniverse to send and receive S8 traffic until further notice",,,LIST_6354_CHINA_MOBILE_HONG_KONG,AP
6861,1546,China Unicom International,Hong Kong,epc.mnc007.mcc454.3gppnetwork.org,45407,online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,HKGCU,,,,LIST_6861_CHINA_UNICOM_INTERNATIONAL,AP
12533,1896,China-Hongkong Telecom,Hong Kong,,,,,,,,,,,,,,,,
12774,1903,CITIC Telecom 1616,Hong Kong,epc.mnc001.mcc454.3gppnetwork.org,45401,hidden,,,,,,,,,,,,,
6586,2512,CMI Peer,Hong Kong,dra.ipx.cmi.3gppnetwork.org,,,"AP DSC, NA DSC",Peer,,,,greg.zhai@syniverse.com,,,,,,,
6226,99,CSL,Hong Kong,,,,,,,,,,,HKGTC,merged to HKT,,,LIST_6226_CSL,"AP,EU"
6355,2476,DRA1.HKG2,Hong Kong,hkgdra001.aicent.grx,,,,,,,,,,,,,,,
6611,2745,HGC DSS Peer,Hong Kong,,,,,,,,,,,,peer not established,,,,
6357,521,Hong Kong Telecommunications (HKT) Limited 3G,Hong Kong,"epc.mnc000.mcc454.3gppnetwork.org,epc.mnc019.mcc454.3gppnetwork.org","45400,45419",online,AP DSC,Direct,Live,,,joe.feng@syniverse.com,Asia Pacific,HKGM3,,:BICS,BICS:Need approval,LIST_6357_HONG_KONG_TELECOMMUNICATIONS_HKT_LIMITED_3G,"AP,NA"
6358,291,Hutchison 3G Hong Kong,Hong Kong,epc.mnc003.mcc454.3gppnetwork.org,"45403,45404",online,AP DSC,Direct,Live,,,joe.feng@syniverse.com,Asia Pacific,HKGH3,Migration from A6AP to S9AP was completed in 30th Nov 2016,,,LIST_6358_HUTCHISON_3G_HONG_KONG,AP
7446,2417,PCCW Global Peer,Hong Kong,,,,,,,,,wind.wang@syniverse.com,,,,,,,
6362,43,SmarTone Mobile,Hong Kong,epc.mnc006.mcc454.3gppnetwork.org,45406,online,AP DSC,Direct,Live,,,joe.feng@syniverse.com,Asia Pacific,HKGSM,"To enable globetouch cloud sim, smartone need to send ULR back to SVR.Smartone DEA can not send back URL to same host on same SCTP, so SVR use default-loopback-profile to establish SCTP with smart DEA",:TIWS,TIWS:Prefered(Default),LIST_6362_SMARTONE_MOBILE,AP
12643,3159,Webbing Hong Kong Limited,Hong Kong,epc.mnc035.mcc454.3gppnetwork.org,45435,hidden,,Indirect,,,,,Asia Pacific,HKG35,,:Comfone,Comfone:Prefered(Default),LIST_12643_WEBBING_HONG_KONG_LIMITED,"EU,NA"
6851,2849,AP-HKG-DSC-01,HongKong,dra.ipx.syniverse.3gppnetwork.org,,,,,,,,,,,,,,,
6893,378,T-Mobile Hungary,Hungary,epc.mnc030.mcc216.3gppnetwork.org,21630,online,,Indirect,Live,,,,EMEA,HUNH2,,:DT,DT:Prefered(Default),LIST_6893_TMOBILE_HUNGARY,"EU,NA"
